 radius= 1.0000E+01 lambda= 5.3200E-01 x= 1.5708E+02

Qext= 1.9396E+00 Qsca= 1.9396E+00 Qabs= 0.0000E+00 <cos>= 9.5606E-01
                 Qbk = 4.1028E-02
  theta       S11           POL           S33           S34
 142.29   3.64684E+02   2.85182E-01   3.23911E+02  -1.31376E+02
 142.79   1.90979E+02   6.41760E-01   1.45935E+02  -1.24203E+01
 143.30   3.83743E+02   2.23352E-01   3.34021E+02   1.68353E+02
 143.80   2.07783E+02  -8.40109E-01   8.86002E+01   6.96595E+01
 144.30   4.26025E+02  -1.23835E-01   2.23952E+02  -3.58552E+02
 144.80   2.96481E+02   3.22251E-01   1.99604E+02  -1.97309E+02
 145.31   3.04491E+02   3.99639E-01   2.65926E+02  -8.47967E+01
 145.81   4.02230E+02   2.95502E-01   3.57542E+02  -1.40802E+02
 146.31   2.30983E+02   7.47840E-01   1.51628E+02  -2.28819E+01
 146.82   5.34535E+02   4.17138E-01   4.12342E+02   2.56874E+02
 147.32   1.94823E+02  -8.46612E-01   5.71985E+01   8.64833E+01
 147.82   5.14208E+02  -6.91136E-02   3.54056E+02  -3.71202E+02
 148.32   2.67759E+02   2.81777E-01   1.91007E+02  -1.71810E+02
 148.83   3.66442E+02   4.79580E-01   3.16412E+02  -5.72623E+01
 149.33   4.04366E+02   3.37020E-01   3.71395E+02  -8.37000E+01
 149.83   2.27422E+02   6.90233E-01   1.64458E+02   5.78416E+00
 150.34   5.54207E+02   4.67009E-01   4.29331E+02   2.36289E+02
 150.84   1.55167E+02  -8.24471E-01   4.63598E+01   7.45742E+01
 151.34   5.38626E+02  -2.15825E-01   4.14125E+02  -3.24198E+02
 151.84   2.08389E+02   3.03146E-01   7.24030E+01  -1.84914E+02
 152.35   4.88324E+02   6.63311E-01   3.58247E+02   7.21216E+01
 152.85   2.89660E+02   4.44784E-01   2.51990E+02   6.16874E+01
 153.35   2.43571E+02   3.22957E-01   2.29796E+02   1.82352E+01
 153.85   4.66228E+02   4.38520E-01   3.98336E+02   1.29990E+02
 154.36   9.33893E+01  -8.95988E-01   4.14540E+01   1.22500E+00
 154.86   5.41461E+02  -2.03588E-01   4.81637E+02  -2.21483E+02
 155.36   9.61940E+01   1.54637E-01  -2.81418E+01  -9.07748E+01
 155.87   6.04367E+02   7.85675E-01   3.49408E+02   1.33057E+02
 156.37   2.61195E+02   8.57493E-01   4.94488E+01   1.24955E+02
 156.87   2.80458E+02  -5.35617E-01   2.29466E+02  -5.86234E+01
 157.37   3.06964E+02  -4.09725E-02   3.02230E+02  -5.22121E+01
 157.88   8.36425E+01   1.71332E-01   8.15054E+01  -1.21479E+01
 158.38   4.13370E+02   1.72939E-01   3.97881E+02  -8.63441E+01
 158.88   8.03661E+00   7.66208E-01  -3.50858E+00   3.78940E+00
 159.39   4.41042E+02   5.87056E-01   3.54348E+02   4.37977E+01
 159.89   1.20388E+02   9.08949E-01  -5.01907E+01  -1.54495E-02
 160.39   3.61039E+02  -7.65593E-01   2.15440E+02  -8.67904E+01
 160.89   1.77082E+02  -9.14755E-01   7.15419E+01  -3.20312E-01
 161.40   2.52193E+02   8.65492E-01   1.24387E+02   2.20663E+01
 161.90   3.37523E+02   8.35820E-01   1.77139E+02  -5.43909E+01
 162.40   1.43396E+02  -7.56328E-01   2.16020E+01  -9.12872E+01
 162.91   3.61890E+02  -5.00327E-01   3.13134E+02  -1.12903E+01
 163.41   6.47614E+01   8.01304E-01   2.83398E+01   2.64188E+01
 163.91   4.03345E+02   2.50466E-01   3.59062E+02  -1.53481E+02
 164.41   6.72660E+01   2.02700E-01   6.52133E+01  -9.27506E+00
 164.92   3.74687E+02   2.67368E-01   3.34287E+02  -1.36405E+02
 165.42   1.62677E+02   5.19789E-01   1.28051E+02  -5.40054E+01
 165.92   3.29597E+02  -2.24722E-01   2.08667E+02  -2.44145E+02
 166.42   3.11602E+02  -6.43123E-01   2.08709E+02  -1.15659E+02
 166.93   2.20545E+02   9.10652E-01   9.06896E+01   8.88343E+00
 167.43   5.25751E+02   6.28007E-01   2.84097E+02  -2.94428E+02
 167.93   1.17479E+02  -5.52999E-01  -1.95295E+01  -9.59135E+01
 168.44   6.16004E+02  -5.63248E-01   3.84375E+02  -3.33667E+02
 168.94   1.13464E+02  -6.19530E-01  -5.96670E+01   6.61261E+01
 169.44   6.86998E+02   6.78127E-01   3.71253E+02  -3.42199E+02
 169.94   2.62129E+02   5.03613E-01   2.73723E+01  -2.24800E+02
 170.45   4.62554E+02  -5.03923E-01   3.83363E+02  -1.12505E+02
 170.95   4.89844E+02  -6.14214E-01   3.48791E+02  -1.66642E+02
 171.45   3.09338E+02   8.72533E-01   1.30252E+02  -7.66447E+01
 171.96   9.54801E+02   3.91352E-01   6.39351E+02  -6.02703E+02
 172.46   5.38199E+01  -9.82884E-01   9.25490E+00   3.55726E+00
 172.96   1.09068E+03  -8.68433E-02   1.03484E+03  -3.31229E+02
 173.46   1.02397E+02  -4.92271E-01   8.68762E+01   1.99196E+01
 173.97   1.12244E+03   3.14968E-01   8.77815E+02  -6.03601E+02
 174.47   6.13434E+02   2.85144E-01   4.72564E+02  -3.49840E+02
 174.97   6.25709E+02  -4.50102E-02   5.63104E+02  -2.71353E+02
 175.47   1.27121E+03   1.13538E-01   1.18361E+03  -4.40698E+02
 175.98   2.04727E+02   5.49973E-02   8.23017E+01  -1.87117E+02
 176.48   1.95843E+03   7.61593E-02   1.64687E+03  -1.04929E+03
 176.98   8.69067E+01   9.58651E-01   2.05129E+01  -1.38170E+01
 177.49   2.22386E+03  -5.76803E-02   1.80136E+03  -1.29778E+03
 177.99   8.02854E+02   3.77547E-01   7.41354E+02  -5.55811E+01
 178.49   2.16921E+03  -2.55533E-01   1.19385E+03  -1.72422E+03
 178.99   4.90139E+03  -1.71003E-02   4.69992E+03  -1.38830E+03
