 radius= 4.1038E+01 lambda= 5.3200E-01 x= 6.4608E+02

Qext= 2.0318E+00 Qsca= 2.0318E+00 Qabs= 0.0000E+00 <cos>= 9.3917E-01
                 Qbk = 1.2702E+00
  theta       S11           POL           S33           S34
 115.51   8.11051E+03   5.33874E-01   5.36726E+03   4.26897E+03
 116.22   1.39117E+04   6.18161E-01   8.53022E+03  -6.84228E+03
 116.93   2.06111E+04   8.13255E-01   1.09368E+04  -4.92307E+03
 117.64   1.11580E+04   4.59549E-01   9.86080E+03   9.86219E+02
 118.35   2.97219E+03  -5.86150E-01  -1.95517E+03  -1.40575E+03
 119.06   1.68008E+04   5.30272E-01   8.07393E+03  -1.17349E+04
 119.76   4.94325E+03  -5.47830E-02   4.26730E+03   2.48043E+03
 120.47   5.96758E+03  -7.49792E-01  -3.92848E+03  -3.98022E+02
 121.18   4.99404E+03   1.43657E-01   3.42235E+03  -3.56556E+03
 121.89   9.56685E+03   3.80394E-01   2.62111E+03   8.45050E+03
 122.60   1.90708E+03  -7.15910E-01   1.23361E+02  -1.32578E+03
 123.31   1.00804E+04   9.00776E-01   4.34310E+03  -5.49806E+02
 124.02   2.15577E+03   1.02050E-01   1.13363E+03   1.82039E+03
 124.72   6.98515E+03   5.21520E-01  -1.84582E+03  -5.66697E+03
 125.43   3.22582E+03  -3.39451E-02   2.56663E+03   1.95098E+03
 126.14   5.70013E+03   5.58402E-02  -5.14860E+03  -2.42529E+03
 126.85   4.08892E+03   1.70604E-01   2.12221E+03   3.42474E+03
 127.56   2.17410E+03  -3.55793E-01  -2.02427E+03   1.75212E+02
 128.27   6.31446E+03   9.85127E-01   1.05680E+03   2.45699E+02
 128.98   6.40762E+02  -9.65286E-01  -7.80459E+01   1.48053E+02
 129.69   3.90024E+03   5.72690E-01  -3.18063E+02  -3.18145E+03
 130.39   5.72074E+03  -1.02215E-01  -5.63287E+03   8.09748E+02
 131.10   1.16583E+03   7.51294E-01   6.14042E+02   4.63619E+02
 131.81   2.49961E+03  -2.71542E-01  -2.03999E+03   1.27507E+03
 132.52   6.04560E+03   8.68465E-01  -2.97613E+03   3.53974E+02
 133.23   3.13923E+03  -3.09244E-01  -2.91872E+03  -6.27205E+02
 133.94   1.58027E+03   2.90029E-01  -5.14304E+02   1.42221E+03
 134.65   1.27374E+03  -1.81666E-01  -1.24271E+03  -1.56679E+02
 135.35   4.30262E+03   3.92808E-01  -3.14747E+03   2.39781E+03
 136.06   4.69956E+03   5.41456E-01  -3.73044E+03  -1.30179E+03
 136.77   4.02975E+03  -2.17334E-01  -3.77604E+03   1.10154E+03
 137.48   2.78334E+03   4.38869E-01  -2.43465E+03   5.72159E+02
 138.19   5.14699E+02   2.01830E-01  -2.48908E+02  -4.38370E+02
 138.90   5.15079E+02  -1.08458E-01  -4.32418E+02   2.74226E+02
 139.61   9.86975E+02   4.63570E-01  -1.21118E+02  -8.66092E+02
 140.31   1.80143E+03  -1.12422E-01  -1.76331E+03  -3.08041E+02
 141.02   2.59385E+03   4.27666E-01  -2.09065E+03  -1.06147E+03
 141.73   2.50171E+03   7.16827E-01  -1.36364E+03  -1.08772E+03
 142.44   1.26971E+03   4.24146E-01  -1.13528E+03  -1.82394E+02
 143.15   3.06253E+03   6.79777E-01  -2.22180E+03   3.29644E+02
 143.86   1.16118E+03   7.88576E-03  -1.07846E+03   4.30328E+02
 144.57   7.97864E+02   1.38326E-02  -7.88149E+02  -1.23637E+02
 145.28   1.05733E+03   4.40999E-02  -1.05620E+03  -1.40750E+01
 145.98   1.15959E+03   5.22897E-01  -4.21043E+02  -8.94271E+02
 146.69   2.44571E+02  -1.07502E-01  -2.06576E+02   1.28257E+02
 147.40   1.83934E+03  -2.50389E-02  -1.76145E+03   5.27565E+02
 148.11   2.44656E+03   8.19871E-02  -2.22704E+03   9.92838E+02
 148.82   6.80017E+03   3.23446E-01  -5.99409E+03  -2.33997E+03
 149.53   4.54158E+03  -1.54268E-02  -4.53794E+03  -1.67586E+02
 150.24   3.24866E+02  -2.30179E-01  -3.15674E+02  -1.72023E+01
 150.94   6.37708E+02  -9.76120E-01  -1.25175E+02  -5.93467E+01
 151.65   4.21544E+03   4.97590E-01  -3.42014E+03   1.29339E+03
 152.36   4.18567E+03   2.39717E-01  -4.04467E+03  -3.91980E+02
 153.07   1.87505E+03  -8.86684E-02  -9.00225E+02  -1.63639E+03
 153.78   1.19606E+03   1.56419E-01  -8.48594E+02  -8.21850E+02
 154.49   6.79696E+03  -9.98896E-02  -6.71653E+03   7.91143E+02
 155.20   1.50804E+03  -7.30209E-01  -6.75063E+02   7.78379E+02
 155.91   1.30795E+03  -3.14110E-01  -2.99481E+02   1.20509E+03
 156.61   5.00470E+03  -2.40859E-02  -4.63427E+03   1.88575E+03
 157.32   1.33450E+03   5.02349E-01  -1.15376E+03   1.77337E+01
 158.03   4.65194E+03   6.18279E-01  -1.85583E+03   3.15022E+03
 158.74   2.95239E+03  -2.45647E-02  -2.60125E+03   1.39457E+03
 159.45   1.12168E+03   6.29522E-01   8.65259E+02   1.04335E+02
 160.16   3.67426E+03   5.13786E-01  -3.14510E+03   2.11705E+02
 160.87   6.02214E+02  -4.77670E-01  -2.23016E+02   4.79767E+02
 161.57   6.00992E+03   9.53996E-01  -1.55649E+03  -9.07825E+02
 162.28   8.74103E+02  -1.42477E-01   8.65183E+02   2.21851E+00
 162.99   4.39635E+03   6.78720E-01  -1.40853E+03  -2.90523E+03
 163.70   1.77765E+03  -2.66024E-01  -1.68562E+03   3.08407E+02
 164.41   2.31250E+03  -8.48384E-01  -6.30078E+02  -1.04960E+03
 165.12   6.36963E+03  -1.85276E-01  -1.15385E+03   6.15208E+03
 165.83   3.29565E+03  -1.52529E-01   3.18955E+03  -6.59803E+02
 166.54   6.55336E+03  -5.46229E-01   9.59295E+02   5.40486E+03
 167.24   2.65068E+03   9.11260E-01   1.13200E+02  -1.08575E+03
 167.95   3.41780E+03  -7.52096E-01  -8.90534E+02   2.06900E+03
 168.66   4.30711E+03  -3.94145E-01  -9.86520E+02  -3.83354E+03
 169.37   9.33262E+03  -7.40459E-01   4.44505E+02   6.25670E+03
 170.08   1.05869E+04   8.47006E-02   9.83562E+03  -3.81305E+03
 170.79   1.15982E+04  -7.07757E-01   8.03735E+03   1.59251E+03
 171.50   1.52082E+04   4.23952E-01   1.33320E+04   3.46062E+03
 172.20   9.59913E+03   6.86954E-01  -3.75945E+02  -6.96556E+03
 172.91   1.35758E+04  -6.76745E-01   6.00740E+03  -7.98791E+03
 173.62   3.75679E+03  -9.78446E-01  -3.09739E+02  -7.11276E+02
 174.33   2.58489E+04  -9.60050E-01   6.96772E+03   1.94188E+03
 175.04   3.64864E+04   7.34354E-01   2.16479E+04   1.20295E+04
 175.75   6.07989E+04   4.81396E-01   5.26102E+04  -8.48769E+03
 176.46   1.01469E+05   9.29400E-02   1.00572E+05  -9.60630E+03
 177.17   1.54737E+05   1.60596E-01   1.52606E+05   6.12493E+03
 177.87   2.55779E+05   5.94458E-01   1.99966E+05  -4.81374E+04
 178.58   4.87665E+05   4.57007E-01   4.23962E+05  -9.16727E+04
 179.29   5.53803E+05   5.99506E-01   4.26781E+05  -1.19690E+05
 180.00   1.66562E+06  -0.00000E+00  -1.66562E+06   0.00000E+00
