 Complex refractive index= 1.500E+00 +-1.000E-01*i
 radius= 1.0000E+00 lambda= 6.2832E+00 x= 1.0000E+00

Qext=-6.6988E-02 Qsca= 2.4130E-01 Qabs=-3.0828E-01 <cos>= 1.9036E-01
                 Qbk = 2.1532E-01
  theta       S11         S12=S21       S33=S44      S34=-S43       P
  88.99   4.40703E-02  -4.35614E-02   6.37629E-03  -1.98409E-03  0.98845
  89.50   4.38407E-02  -4.34375E-02   5.59121E-03  -1.98114E-03  0.99080
  90.00   4.36186E-02  -4.33073E-02   4.81156E-03  -1.97790E-03  0.99286
  90.50   4.34041E-02  -4.31708E-02   4.03738E-03  -1.97436E-03  0.99462
  91.01   4.31969E-02  -4.30280E-02   3.26870E-03  -1.97052E-03  0.99609
  91.51   4.29972E-02  -4.28791E-02   2.50554E-03  -1.96639E-03  0.99725
  92.01   4.28048E-02  -4.27241E-02   1.74795E-03  -1.96196E-03  0.99811
  92.51   4.26197E-02  -4.25631E-02   9.95941E-04  -1.95724E-03  0.99867
  93.02   4.24418E-02  -4.23961E-02   2.49554E-04  -1.95224E-03  0.99892
  93.52   4.22711E-02  -4.22234E-02  -4.91188E-04  -1.94695E-03  0.99887
  94.02   4.21075E-02  -4.20448E-02  -1.22626E-03  -1.94137E-03  0.99851
  94.53   4.19510E-02  -4.18606E-02  -1.95564E-03  -1.93552E-03  0.99785
  95.03   4.18014E-02  -4.16708E-02  -2.67931E-03  -1.92939E-03  0.99688
  95.53   4.16588E-02  -4.14755E-02  -3.39724E-03  -1.92298E-03  0.99560
  96.03   4.15231E-02  -4.12747E-02  -4.10942E-03  -1.91629E-03  0.99402
  96.54   4.13941E-02  -4.10686E-02  -4.81582E-03  -1.90934E-03  0.99214
  97.04   4.12719E-02  -4.08573E-02  -5.51644E-03  -1.90212E-03  0.98995
  97.54   4.11563E-02  -4.06408E-02  -6.21126E-03  -1.89463E-03  0.98747
  98.04   4.10473E-02  -4.04191E-02  -6.90026E-03  -1.88688E-03  0.98470
  98.55   4.09448E-02  -4.01926E-02  -7.58343E-03  -1.87888E-03  0.98163
  99.05   4.08488E-02  -3.99611E-02  -8.26077E-03  -1.87061E-03  0.97827
  99.55   4.07592E-02  -3.97248E-02  -8.93225E-03  -1.86210E-03  0.97462
 100.06   4.06758E-02  -3.94838E-02  -9.59788E-03  -1.85333E-03  0.97069
 100.56   4.05987E-02  -3.92381E-02  -1.02576E-02  -1.84432E-03  0.96649
 101.06   4.05277E-02  -3.89880E-02  -1.09115E-02  -1.83506E-03  0.96201
 101.56   4.04627E-02  -3.87334E-02  -1.15596E-02  -1.82557E-03  0.95726
 102.07   4.04038E-02  -3.84745E-02  -1.22017E-02  -1.81583E-03  0.95225
 102.57   4.03507E-02  -3.82113E-02  -1.28380E-02  -1.80587E-03  0.94698
 103.07   4.03035E-02  -3.79440E-02  -1.34684E-02  -1.79568E-03  0.94146
 103.58   4.02620E-02  -3.76727E-02  -1.40929E-02  -1.78526E-03  0.93569
 104.08   4.02261E-02  -3.73974E-02  -1.47115E-02  -1.77461E-03  0.92968
 104.58   4.01959E-02  -3.71182E-02  -1.53243E-02  -1.76375E-03  0.92343
 105.08   4.01711E-02  -3.68353E-02  -1.59312E-02  -1.75268E-03  0.91696
 105.59   4.01517E-02  -3.65488E-02  -1.65322E-02  -1.74139E-03  0.91027
 106.09   4.01376E-02  -3.62587E-02  -1.71274E-02  -1.72990E-03  0.90336
 106.59   4.01288E-02  -3.59651E-02  -1.77167E-02  -1.71820E-03  0.89624
 107.09   4.01251E-02  -3.56682E-02  -1.83001E-02  -1.70631E-03  0.88892
 107.60   4.01265E-02  -3.53680E-02  -1.88777E-02  -1.69421E-03  0.88141
 108.10   4.01329E-02  -3.50647E-02  -1.94495E-02  -1.68193E-03  0.87372
 108.60   4.01441E-02  -3.47583E-02  -2.00155E-02  -1.66946E-03  0.86584
 109.11   4.01601E-02  -3.44489E-02  -2.05757E-02  -1.65681E-03  0.85779
 109.61   4.01808E-02  -3.41367E-02  -2.11301E-02  -1.64398E-03  0.84958
 110.11   4.02062E-02  -3.38218E-02  -2.16787E-02  -1.63097E-03  0.84121
 110.61   4.02361E-02  -3.35042E-02  -2.22215E-02  -1.61779E-03  0.83269
 111.12   4.02704E-02  -3.31840E-02  -2.27586E-02  -1.60444E-03  0.82403
 111.62   4.03090E-02  -3.28613E-02  -2.32899E-02  -1.59094E-03  0.81523
 112.12   4.03520E-02  -3.25363E-02  -2.38156E-02  -1.57727E-03  0.80631
 112.63   4.03991E-02  -3.22091E-02  -2.43355E-02  -1.56345E-03  0.79727
 113.13   4.04503E-02  -3.18797E-02  -2.48497E-02  -1.54948E-03  0.78812
 113.63   4.05054E-02  -3.15482E-02  -2.53583E-02  -1.53536E-03  0.77886
 114.13   4.05645E-02  -3.12147E-02  -2.58613E-02  -1.52111E-03  0.76951
 114.64   4.06274E-02  -3.08794E-02  -2.63586E-02  -1.50671E-03  0.76006
 115.14   4.06940E-02  -3.05424E-02  -2.68503E-02  -1.49219E-03  0.75054
 115.64   4.07642E-02  -3.02036E-02  -2.73364E-02  -1.47753E-03  0.74093
 116.15   4.08380E-02  -2.98633E-02  -2.78170E-02  -1.46276E-03  0.73126
 116.65   4.09152E-02  -2.95215E-02  -2.82920E-02  -1.44786E-03  0.72153
 117.15   4.09958E-02  -2.91784E-02  -2.87616E-02  -1.43285E-03  0.71174
 117.65   4.10797E-02  -2.88339E-02  -2.92256E-02  -1.41773E-03  0.70190
 118.16   4.11667E-02  -2.84883E-02  -2.96842E-02  -1.40250E-03  0.69202
 118.66   4.12569E-02  -2.81416E-02  -3.01373E-02  -1.38717E-03  0.68211
 119.16   4.13501E-02  -2.77939E-02  -3.05851E-02  -1.37175E-03  0.67216
 119.66   4.14461E-02  -2.74453E-02  -3.10274E-02  -1.35623E-03  0.66219
 120.17   4.15450E-02  -2.70959E-02  -3.14644E-02  -1.34062E-03  0.65220
 120.67   4.16467E-02  -2.67457E-02  -3.18960E-02  -1.32493E-03  0.64221
 121.17   4.17510E-02  -2.63950E-02  -3.23224E-02  -1.30917E-03  0.63220
 121.68   4.18579E-02  -2.60437E-02  -3.27435E-02  -1.29333E-03  0.62219
 122.18   4.19672E-02  -2.56920E-02  -3.31593E-02  -1.27741E-03  0.61219
 122.68   4.20790E-02  -2.53400E-02  -3.35699E-02  -1.26144E-03  0.60220
 123.18   4.21931E-02  -2.49877E-02  -3.39753E-02  -1.24540E-03  0.59222
 123.69   4.23094E-02  -2.46352E-02  -3.43756E-02  -1.22931E-03  0.58226
 124.19   4.24278E-02  -2.42827E-02  -3.47707E-02  -1.21316E-03  0.57233
 124.69   4.25483E-02  -2.39301E-02  -3.51607E-02  -1.19697E-03  0.56242
 125.20   4.26708E-02  -2.35777E-02  -3.55457E-02  -1.18074E-03  0.55255
 125.70   4.27951E-02  -2.32255E-02  -3.59256E-02  -1.16446E-03  0.54271
 126.20   4.29213E-02  -2.28735E-02  -3.63005E-02  -1.14816E-03  0.53292
 126.70   4.30492E-02  -2.25219E-02  -3.66704E-02  -1.13182E-03  0.52317
 127.21   4.31788E-02  -2.21707E-02  -3.70354E-02  -1.11546E-03  0.51346
 127.71   4.33099E-02  -2.18201E-02  -3.73955E-02  -1.09908E-03  0.50381
 128.21   4.34425E-02  -2.14701E-02  -3.77507E-02  -1.08268E-03  0.49422
 128.72   4.35765E-02  -2.11207E-02  -3.81010E-02  -1.06627E-03  0.48468
 129.22   4.37118E-02  -2.07722E-02  -3.84465E-02  -1.04986E-03  0.47521
 129.72   4.38484E-02  -2.04245E-02  -3.87873E-02  -1.03344E-03  0.46580
 130.22   4.39861E-02  -2.00777E-02  -3.91233E-02  -1.01703E-03  0.45646
 130.73   4.41250E-02  -1.97320E-02  -3.94545E-02  -1.00062E-03  0.44718
 131.23   4.42648E-02  -1.93873E-02  -3.97811E-02  -9.84216E-04  0.43798
 131.73   4.44056E-02  -1.90438E-02  -4.01031E-02  -9.67832E-04  0.42886
 132.23   4.45473E-02  -1.87016E-02  -4.04204E-02  -9.51467E-04  0.41981
 132.74   4.46898E-02  -1.83607E-02  -4.07331E-02  -9.35125E-04  0.41085
 133.24   4.48330E-02  -1.80212E-02  -4.10413E-02  -9.18810E-04  0.40196
 133.74   4.49768E-02  -1.76831E-02  -4.13449E-02  -9.02528E-04  0.39316
 134.25   4.51212E-02  -1.73466E-02  -4.16441E-02  -8.86282E-04  0.38445
 134.75   4.52661E-02  -1.70118E-02  -4.19388E-02  -8.70077E-04  0.37582
 135.25   4.54115E-02  -1.66786E-02  -4.22291E-02  -8.53916E-04  0.36728
 135.75   4.55572E-02  -1.63471E-02  -4.25150E-02  -8.37804E-04  0.35883
 136.26   4.57032E-02  -1.60175E-02  -4.27966E-02  -8.21744E-04  0.35047
 136.76   4.58494E-02  -1.56898E-02  -4.30738E-02  -8.05742E-04  0.34220
 137.26   4.59958E-02  -1.53641E-02  -4.33467E-02  -7.89800E-04  0.33403
 137.77   4.61423E-02  -1.50404E-02  -4.36154E-02  -7.73924E-04  0.32596
 138.27   4.62889E-02  -1.47187E-02  -4.38799E-02  -7.58117E-04  0.31798
 138.77   4.64353E-02  -1.43993E-02  -4.41401E-02  -7.42383E-04  0.31009
 139.27   4.65817E-02  -1.40821E-02  -4.43962E-02  -7.26726E-04  0.30231
 139.78   4.67280E-02  -1.37671E-02  -4.46482E-02  -7.11150E-04  0.29462
 140.28   4.68740E-02  -1.34545E-02  -4.48961E-02  -6.95658E-04  0.28704
 140.78   4.70197E-02  -1.31444E-02  -4.51399E-02  -6.80256E-04  0.27955
 141.28   4.71651E-02  -1.28367E-02  -4.53797E-02  -6.64946E-04  0.27217
 141.79   4.73100E-02  -1.25315E-02  -4.56156E-02  -6.49732E-04  0.26488
 142.29   4.74545E-02  -1.22290E-02  -4.58474E-02  -6.34618E-04  0.25770
 142.79   4.75985E-02  -1.19290E-02  -4.60753E-02  -6.19608E-04  0.25062
 143.30   4.77419E-02  -1.16318E-02  -4.62993E-02  -6.04705E-04  0.24364
 143.80   4.78847E-02  -1.13374E-02  -4.65195E-02  -5.89914E-04  0.23676
 144.30   4.80268E-02  -1.10458E-02  -4.67357E-02  -5.75237E-04  0.22999
 144.80   4.81681E-02  -1.07570E-02  -4.69482E-02  -5.60679E-04  0.22332
 145.31   4.83086E-02  -1.04712E-02  -4.71570E-02  -5.46242E-04  0.21676
 145.81   4.84483E-02  -1.01884E-02  -4.73619E-02  -5.31931E-04  0.21029
 146.31   4.85871E-02  -9.90854E-03  -4.75632E-02  -5.17748E-04  0.20393
 146.82   4.87249E-02  -9.63181E-03  -4.77607E-02  -5.03698E-04  0.19768
 147.32   4.88617E-02  -9.35820E-03  -4.79546E-02  -4.89783E-04  0.19152
 147.82   4.89974E-02  -9.08779E-03  -4.81449E-02  -4.76007E-04  0.18547
 148.32   4.91320E-02  -8.82059E-03  -4.83316E-02  -4.62373E-04  0.17953
 148.83   4.92655E-02  -8.55668E-03  -4.85147E-02  -4.48884E-04  0.17368
 149.33   4.93978E-02  -8.29608E-03  -4.86942E-02  -4.35544E-04  0.16794
 149.83   4.95288E-02  -8.03885E-03  -4.88703E-02  -4.22356E-04  0.16231
 150.34   4.96586E-02  -7.78503E-03  -4.90428E-02  -4.09323E-04  0.15677
 150.84   4.97870E-02  -7.53466E-03  -4.92119E-02  -3.96447E-04  0.15134
 151.34   4.99140E-02  -7.28779E-03  -4.93776E-02  -3.83733E-04  0.14601
 151.84   5.00396E-02  -7.04447E-03  -4.95398E-02  -3.71182E-04  0.14078
 152.35   5.01637E-02  -6.80473E-03  -4.96987E-02  -3.58799E-04  0.13565
