 radius= 1.0000E+00 lambda= 5.3200E-01 x= 1.1810E+01

Qext= 2.8352E+00 Qsca= 2.8352E+00 Qabs= 0.0000E+00 <cos>= 8.1030E-01
                 Qbk = 1.7245E-02
  theta       S11           POL           S33           S34
  76.93   2.80085E+01   4.27599E-01   2.44660E+01  -6.51612E+00
  77.43   2.67517E+01   4.89228E-01   2.31013E+01  -3.27053E+00
  77.93   2.53172E+01   5.35956E-01   2.13739E+01  -2.96354E-03
  78.44   2.37716E+01   5.64244E-01   1.93714E+01   3.15123E+00
  78.94   2.21824E+01   5.69870E-01   1.71892E+01   6.06582E+00
  79.44   2.06143E+01   5.48218E-01   1.49256E+01   8.62890E+00
  79.94   1.91258E+01   4.94882E-01   1.26769E+01   1.07473E+01
  80.45   1.77665E+01   4.06645E-01   1.05322E+01   1.23502E+01
  80.95   1.65752E+01   2.82809E-01   8.56989E+00   1.33910E+01
  81.45   1.55778E+01   1.26551E-01   6.85419E+00   1.38493E+01
  81.96   1.47876E+01  -5.42222E-02   5.43273E+00   1.37301E+01
  82.46   1.42045E+01  -2.47182E-01   4.33528E+00   1.30631E+01
  82.96   1.38165E+01  -4.37312E-01   3.57340E+00   1.19004E+01
  83.46   1.36012E+01  -6.09674E-01   3.14105E+00   1.03133E+01
  83.97   1.35273E+01  -7.52174E-01   3.01612E+00   8.38828E+00
  84.47   1.35580E+01  -8.57271E-01   3.16276E+00   6.22293E+00
  84.97   1.36527E+01  -9.22232E-01   3.53425E+00   3.92084E+00
  85.47   1.37703E+01  -9.48202E-01   4.07637E+00   1.58688E+00
  85.98   1.38718E+01  -9.38778E-01   4.73088E+00  -6.77492E-01
  86.48   1.39226E+01  -8.98639E-01   5.43908E+00  -2.77859E+00
  86.98   1.38947E+01  -8.32559E-01   6.14518E+00  -4.63434E+00
  87.49   1.37677E+01  -7.44842E-01   6.79926E+00  -6.17738E+00
  87.99   1.35306E+01  -6.39115E-01   7.35969E+00  -7.35735E+00
  88.49   1.31813E+01  -5.18363E-01   7.79504E+00  -8.14235E+00
  88.99   1.27269E+01  -3.85137E-01   8.08513E+00  -8.51938E+00
  89.50   1.21829E+01  -2.41887E-01   8.22141E+00  -8.49397E+00
  90.00   1.15715E+01  -9.13820E-02   8.20668E+00  -8.08894E+00
  90.50   1.09201E+01   6.27640E-02   8.05399E+00  -7.34244E+00
  91.01   1.02594E+01   2.15540E-01   7.78513E+00  -6.30529E+00
